,Flu.Visit.Count,ILI.Visit.Count,Unspecified.Viral.or.ILI.Visit.Count,TOTAL PATIENTS
07-01-2012,0.00087,0.004,0.01084,678631
14-01-2012,0.00084,0.00384,0.01031,747894
21-01-2012,0.00099,0.0042,0.0108,724623
28-01-2012,0.00117,0.00486,0.01222,784244
04-02-2012,0.00137,0.00515,0.01263,775298
11-02-2012,0.00177,0.00556,0.0131,784516
18-02-2012,0.0027,0.00679,0.01445,789193
25-02-2012,0.0035,0.00766,0.01532,767022
03-03-2012,0.004,0.00775,0.01538,788242
10-03-2012,0.00458,0.00872,0.01669,749198
17-03-2012,0.00491,0.00922,0.01677,747570
24-03-2012,0.00377,0.00757,0.01439,755579
31-03-2012,0.00275,0.00617,0.01285,747079
07-04-2012,0.00219,0.00581,0.01196,711808
14-04-2012,0.00182,0.00527,0.01167,717202
21-04-2012,0.00161,0.00488,0.01082,732480
28-04-2012,0.00126,0.00424,0.01043,726772
05-05-2012,0.00109,0.00405,0.01021,662649
12-05-2012,0.00093,0.00413,0.01022,655492
19-05-2012,0.00076,0.00392,0.01001,636347
26-05-2012,0.00068,0.0039,0.00972,616765
02-06-2012,0.00055,0.00374,0.00941,550614
09-06-2012,0.00044,0.00316,0.0083,581700
16-06-2012,0.00038,0.00305,0.00827,564670
23-06-2012,0.00024,0.0028,0.0077,572296
30-06-2012,0.00022,0.00277,0.00765,536380
07-07-2012,0.00022,0.0029,0.00779,505533
14-07-2012,0.00014,0.00234,0.00667,558637
21-07-2012,0.00018,0.00239,0.00697,546713
28-07-2012,0.00016,0.0022,0.00674,557488
04-08-2012,0.00014,0.00207,0.00662,541600
11-08-2012,0.00012,0.00212,0.0065,548294
18-08-2012,0.00018,0.00222,0.007,560110
25-08-2012,0.00017,0.00221,0.00736,594395
01-09-2012,0.00021,0.00247,0.00814,600354
08-09-2012,0.00023,0.00252,0.00903,558585
15-09-2012,0.00032,0.00253,0.0089,622114
22-09-2012,0.00036,0.00268,0.00931,630563
29-09-2012,0.00051,0.00274,0.00916,623572
06-10-2012,0.00053,0.00299,0.00949,779285
13-10-2012,6.00E-04,0.00305,0.00934,769959
20-10-2012,0.00078,0.00336,0.00978,797444
27-10-2012,0.00081,0.00334,0.00983,798388
03-11-2012,0.00126,0.00396,0.01062,734781
10-11-2012,0.00184,0.0047,0.01135,785871
17-11-2012,0.00253,0.00561,0.01245,777534
24-11-2012,0.00435,0.00793,0.01588,627772
01-12-2012,0.00529,0.00876,0.01701,831730
08-12-2012,0.01058,0.0149,0.02456,835762
15-12-2012,0.0143,0.01947,0.03076,811800
22-12-2012,0.02084,0.02639,0.03954,754019
29-12-2012,0.02961,0.03614,0.05168,607171
